Event 1,,,,,,,,,,,,,,Length Strata (values set on the KS Input tab),,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big
1,1,,1,3/9/2025,,20476,758,,CROA,RM 0-1,64.98513,-148.88466,No LP clip,yes,,yes
1,2,,1,3/9/2025,,20477,653,,CROA,RM 0-1,64.98513,-148.88466,No LP clip,yes,yes,
1,3,,1,3/9/2025,,20478,598,,CROA,RM 0-1,64.98513,-148.88466,No LP clip,yes,,
1,4,,1,3/9/2025,,20479,560,,CROA,RM 0-1,64.98513,-148.88466,,yes,,
1,5,,1,3/9/2025,,20480,608,,CROA,RM 0-1,64.98513,-148.88466,,yes,yes,
1,6,,1,3/10/2025,,20481,645,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,7,,1,3/10/2025,,20482,938,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,8,,1,3/10/2025,,20483,1006,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,9,,1,3/10/2025,,20484,875,,CROA,RM 0-1,64.9845,-148.8857,clipped LP and RP,yes,,yes
1,10,,1,3/10/2025,,20485,684,,CROA,RM 0-1,64.9845,-148.8857,"Recap'd on 3/12/25, released fine",yes,yes,
1,11,,1,3/10/2025,,20486,625,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,12,,1,3/10/2025,,20488,610,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,13,,1,3/10/2025,,20489,803,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,14,,1,3/10/2025,,20490,996,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,15,,1,3/10/2025,,20491,825,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,16,,1,3/10/2025,,20492,764,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,17,,1,3/10/2025,,20493,614,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,18,,1,3/10/2025,,20494,971,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,19,,1,3/10/2025,,20495,965,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,20,,1,3/10/2025,,20496,956,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,21,,2,3/10/2025,,20301,605,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,22,,2,3/10/2025,,20302,731,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,23,,2,3/10/2025,,20303,610,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,24,,2,3/10/2025,,20304,837,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,25,,2,3/10/2025,,20305,843,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,26,,2,3/10/2025,,20306,792,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,27,,2,3/10/2025,,20310,680,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,28,,2,3/10/2025,,20311,811,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,29,,2,3/10/2025,,20312,644,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,30,,2,3/10/2025,,20315,711,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,31,,2,3/10/2025,,20313,745,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,32,,2,3/10/2025,,20316,771,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,33,,2,3/10/2025,,20317,592,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,34,,2,3/10/2025,,20318,741,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,35,,2,3/10/2025,,20319,817,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,36,,2,3/10/2025,,20320,711,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,37,,2,3/10/2025,,20321,866,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,38,,2,3/10/2025,,20322,650,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,39,,2,3/10/2025,,20323,744,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,40,,2,3/10/2025,,20324,628,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,41,,3,3/10/2025,,20325,653,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,42,,3,3/10/2025,,20326,699,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,43,,3,3/10/2025,,20327,678,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,44,,3,3/10/2025,,20328,565,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,45,,3,3/10/2025,,20329,671,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,46,,3,3/10/2025,,20330,874,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,47,,3,3/10/2025,,20331,665,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,48,,3,3/10/2025,,20332,565,,CROA,RM 0-1,64.9845,-148.8857,,yes,,
1,49,,3,3/10/2025,,20333,632,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,50,,3,3/10/2025,,20334,682,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,51,,3,3/10/2025,,20335,678,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,52,,3,3/10/2025,,20336,774,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,53,,3,3/10/2025,,20337,680,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,54,,3,3/10/2025,,20338,710,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
1,55,,3,3/10/2025,,20340,751,,CROA,RM 0-1,64.9845,-148.8857,,yes,,yes
1,56,,3,3/10/2025,,20341,613,,CROA,RM 0-1,64.9845,-148.8857,,yes,yes,
