Event 2,,,,,,,,,,,,,,,Length Strata,,,Calculated or from Event 1 ,,,,,Length Strata,,,,
Event,Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Recap,Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,All,Small,Big,Fork Length Corrected (mm),E1 Tag Area,E1 Lat (WGS84),E1 Long (WGS84),Growth (mm),All,Small,Big,,
2,1,AB HP,1,6/15/2025,1454,,562,0,,,,64.90334,-148.73126,Gear= HL,yes,,,566.00,,,,,yes,,,,
2,2,AB HP,1,6/15/2025,1454,,486,0,,,,64.90334,-148.73126,Gear= HL,,,,490.00,,,,,,,,,
2,3,AB HP,1,6/15/2025,1509,,604,0,,,,64.90207,-148.73009,Gear= HL,yes,yes,,607.00,,,,,yes,yes,,,
2,4,AB HP,1,6/15/2025,1544,,658,0,,,,64.9,-148.72777,Gear= HL,yes,yes,,661.00,,,,,yes,yes,,,
2,5,AB HP,1,6/15/2025,1624,,462,0,,,,64.8969,-148.8239,Gear= HL,,,,467.00,,,,,,,,,
2,6,AB HP,1,6/15/2025,1706,,566,0,,,,64.90273,-148.82585,Gear= HL,yes,,,569.00,,,,,yes,,,,
2,7,AB HP,1,6/15/2025,1723,,540,0,,,,64.8998,-148.82845,Gear= HL,,,,544.00,,,,,,,,,
2,8,AB HP,1,6/15/2025,1752,,612,0,,,,64.92944,-148.83429,Gear= HL,yes,yes,,615.00,,,,,yes,yes,,,
2,9,AB HP,1,6/15/2025,1759,,610,0,,,,64.92944,-148.83189,Gear= HL,yes,yes,,613.00,,,,,yes,yes,,,
2,10,BC RS,1,6/17/2025,1010,,673,0,,,,64.94882,-148.82161,Gear= J,yes,yes,,675.00,,,,,yes,yes,,,
2,11,BC RS,1,6/17/2025,1045,,515,0,,,,64.92883,-148.83392,Gear= HL,,,,519.00,,,,,,,,,
2,12,BC RS,1,6/17/2025,1100,20311,808,1,,,,64.92792,-148.83415,RECAP;  Gear= HL,yes,,yes,811.00,CROA,64.9845,-148.8857,-3,yes,,yes,,
2,13,BC RS,1,6/17/2025,1202,,528,0,,,,64.91164,-148.84775,Gear= HL,,,,532.00,,,,,,,,,
2,14,BC RS,1,6/17/2025,1202,,215,0,,,,64.91164,-148.84775,Gear= HL,,,,222.00,,,,,,,,,
2,15,BC RS,1,6/17/2025,1228,,463,0,,,,64.91179,-148.84586,Gear= HL,,,,468.00,,,,,,,,,
2,16,BC RS,1,6/17/2025,1228,,572,0,,,,64.90933,-148.85178,Gear= HL,yes,,,575.00,,,,,yes,,,,
2,17,BC RS,1,6/17/2025,1246,,545,0,,,,64.90933,-148.85178,Gear= HL,,,,549.00,,,,,,,,,
2,18,BC RS,1,6/17/2025,1252,,495,0,,,,64.90933,-148.85178,Gear= HL,,,,499.00,,,,,,,,,
2,19,BC RS,1,6/17/2025,1307,,420,0,,,,64.91092,-148.84671,Gear= HL,,,,425.00,,,,,,,,,
2,20,BC RS,1,6/17/2025,1310,,600,0,,,,64.91092,-148.84671,Gear= HL,yes,yes,,603.00,,,,,yes,yes,,,
2,21,MA JS,2,6/15/2025,1445,,495,0,,,,64.950066,-148.823963,Gear= HL,,,,499.00,,,,,,,,,
2,22,MA JS,2,6/15/2025,1445,,518,0,,,,64.950066,-148.823963,Gear= HL,,,,522.00,,,,,,,,,
2,23,MA JS,2,6/15/2025,1445,,535,0,,,,64.950066,-148.823963,Gear= HL,,,,539.00,,,,,,,,,
2,24,MA JS,2,6/15/2025,1445,,468,0,,,,64.950066,-148.823963,Gear= HL,,,,473.00,,,,,,,,,
2,25,MA JS,2,6/15/2025,1445,,506,0,,,,64.950066,-148.823963,Gear= HL,,,,510.00,,,,,,,,,
2,26,MA JS,2,6/15/2025,1445,,478,0,,,,64.950066,-148.823963,Gear= HL,,,,482.00,,,,,,,,,
2,27,MA JS,2,6/15/2025,1445,,582,0,,,,64.950066,-148.823963,Gear= HL,yes,,,585.00,,,,,yes,,,,
2,28,MA JS,2,6/15/2025,1515,,971,0,,,,64.89622,-148.725541,Gear= HL,yes,,yes,970.00,,,,,yes,,yes,,
2,29,MA JS,2,6/15/2025,1515,,468,0,,,,64.89622,-148.725541,Gear= HL,,,,473.00,,,,,,,,,
2,30,MA JS,2,6/15/2025,1515,,482,0,,,,64.89622,-148.725541,Gear= HL,,,,486.00,,,,,,,,,
2,31,MA JS,2,6/15/2025,1543,,525,0,,,,64.899475,-148.730305,Gear= HL,,,,529.00,,,,,,,,,
2,32,MA JS,2,6/15/2025,1552,,508,0,,,,64.899475,-148.730305,Gear= HL,,,,512.00,,,,,,,,,
2,33,MA JS,2,6/15/2025,1648,,692,0,,,,64.90242,-148.82308,Gear= HL,yes,yes,,694.00,,,,,yes,yes,,,
2,34,MA JS,2,6/15/2025,1700,,606,0,,,,64.90554,-148.85366,Gear= HL,yes,yes,,609.00,,,,,yes,yes,,,
2,35,MA JS,2,6/15/2025,1800,,600,0,,,,64.93598,-148.82543,Gear= HL,yes,yes,,603.00,,,,,yes,yes,,,
2,36,MA JS,2,6/15/2025,1817,,510,0,,,,64.93598,-148.82543,Gear= HL,,,,514.00,,,,,,,,,
2,37,MA JS,2,6/15/2025,1826,,602,0,,,,64.93706,-148.83056,Gear= HL,yes,yes,,605.00,,,,,yes,yes,,,
2,38,MA AB,3,6/16/2025,1413,,605,0,,,,64.88631,-148.84678,Gear= HL,yes,yes,,608.00,,,,,yes,yes,,,
2,39,MA AB,3,6/16/2025,1420,20330,877,1,,,,64.88631,-148.84678,RECAP;  Gear= HL,yes,,yes,874.00,CROA,64.9845,-148.8857,3,yes,,yes,,
2,40,MA AB,3,6/16/2025,1433,,642,0,,,,64.88631,-148.84678,Gear= HL,yes,yes,,645.00,,,,,yes,yes,,,
2,41,MA AB,3,6/16/2025,1445,,530,0,,,,64.88631,-148.84678,Gear= HL,,,,534.00,,,,,,,,,
2,42,MA AB,3,6/16/2025,1455,,540,0,,,,64.88631,-148.84678,Gear= HL,,,,544.00,,,,,,,,,
2,43,MA AB,3,6/16/2025,1613,,504,0,,,,64.92448,-148.74362,Gear= HL,,,,508.00,,,,,,,,,
2,44,MA AB,3,6/16/2025,1613,,538,0,,,,64.93943,-148.85534,Gear= FN,,,,542.00,,,,,,,,,
2,45,MA AB,3,6/16/2025,1613,,476,0,,,,64.93943,-148.85534,Gear= FN,,,,480.00,,,,,,,,,
2,46,MA HP,4,6/17/2025,1100,,569,0,,,,64.88337,-148.85996,Gear= HL,yes,,,572.00,,,,,yes,,,,
2,47,MA HP,4,6/17/2025,1104,,572,0,,,,64.88351,-148.85763,Gear= HL,yes,,,575.00,,,,,yes,,,,
2,48,MA HP,4,6/17/2025,1127,,533,0,,,,64.88593,-148.84776,Gear= HL,,,,537.00,,,,,,,,,
2,49,MA HP,4,6/17/2025,1127,,537,0,,,,64.88593,-148.84776,Gear= HL,,,,541.00,,,,,,,,,
2,50,MA HP,4,6/17/2025,1157,,541,0,,,,64.881,-148.85248,Gear= HL,,,,545.00,,,,,,,,,
2,51,MA HP,4,6/17/2025,1209,,623,0,,,,64.88145,-148.85045,Gear= HL,yes,yes,,626.00,,,,,yes,yes,,,
