Unique,Crew,Data Page,Date,Time,Tag Number,Fork Length (mm),Recap,Weight (lbs),Area,Area Description,Lat (WGS84),Long (WGS84),Comments,Gear,FL
1,AB HP,1,6/15/2025,1454,,562,0,,MLSA,,64.90334,-148.73126,Gear= HL,HL,562
2,AB HP,1,6/15/2025,1454,,486,0,,MLSA,,64.90334,-148.73126,Gear= HL,HL,486
3,AB HP,1,6/15/2025,1509,,604,0,,MLSA,,64.90207,-148.73009,Gear= HL,HL,604
4,AB HP,1,6/15/2025,1544,,658,0,,MLSA,,64.9,-148.72777,Gear= HL,HL,658
5,AB HP,1,6/15/2025,1624,,462,0,,MLSA,,64.8969,-148.8239,Gear= HL,HL,462
6,AB HP,1,6/15/2025,1706,,566,0,,MLSA,,64.90273,-148.82585,Gear= HL,HL,566
7,AB HP,1,6/15/2025,1723,,540,0,,MLSA,,64.8998,-148.82845,Gear= HL,HL,540
8,AB HP,1,6/15/2025,1752,,612,0,,MLSA,,64.92944,-148.83429,Gear= HL,HL,612
9,AB HP,1,6/15/2025,1759,,610,0,,MLSA,,64.92944,-148.83189,Gear= HL,HL,610
10,BC RS,1,6/17/2025,1010,,673,0,,MLSA,,64.94882,-148.82161,Gear= J,J,673
11,BC RS,1,6/17/2025,1045,,515,0,,MLSA,,64.92883,-148.83392,Gear= HL,HL,515
12,BC RS,1,6/17/2025,1100,20311,808,1,,MLSA,,64.92792,-148.83415,RECAP;  Gear= HL,HL,808
13,BC RS,1,6/17/2025,1202,,528,0,,MLSA,,64.91164,-148.84775,Gear= HL,HL,528
14,BC RS,1,6/17/2025,1202,,215,0,,MLSA,,64.91164,-148.84775,Gear= HL,HL,215
15,BC RS,1,6/17/2025,1228,,463,0,,MLSA,,64.91179,-148.84586,Gear= HL,HL,463
16,BC RS,1,6/17/2025,1228,,572,0,,MLSA,,64.90933,-148.85178,Gear= HL,HL,572
17,BC RS,1,6/17/2025,1246,,545,0,,MLSA,,64.90933,-148.85178,Gear= HL,HL,545
18,BC RS,1,6/17/2025,1252,,495,0,,MLSA,,64.90933,-148.85178,Gear= HL,HL,495
19,BC RS,1,6/17/2025,1307,,420,0,,MLSA,,64.91092,-148.84671,Gear= HL,HL,420
20,BC RS,1,6/17/2025,1310,,600,0,,MLSA,,64.91092,-148.84671,Gear= HL,HL,600
21,MA JS,2,6/15/2025,1445,,495,0,,MLSA,,64.950066,-148.823963,Gear= HL,HL,495
22,MA JS,2,6/15/2025,1445,,518,0,,MLSA,,64.950066,-148.823963,Gear= HL,HL,518
23,MA JS,2,6/15/2025,1445,,535,0,,MLSA,,64.950066,-148.823963,Gear= HL,HL,535
24,MA JS,2,6/15/2025,1445,,468,0,,MLSA,,64.950066,-148.823963,Gear= HL,HL,468
25,MA JS,2,6/15/2025,1445,,506,0,,MLSA,,64.950066,-148.823963,Gear= HL,HL,506
26,MA JS,2,6/15/2025,1445,,478,0,,MLSA,,64.950066,-148.823963,Gear= HL,HL,478
27,MA JS,2,6/15/2025,1445,,582,0,,MLSA,,64.950066,-148.823963,Gear= HL,HL,582
28,MA JS,2,6/15/2025,1515,,971,0,,MLSA,,64.89622,-148.725541,Gear= HL,HL,971
29,MA JS,2,6/15/2025,1515,,468,0,,MLSA,,64.89622,-148.725541,Gear= HL,HL,468
30,MA JS,2,6/15/2025,1515,,482,0,,MLSA,,64.89622,-148.725541,Gear= HL,HL,482
31,MA JS,2,6/15/2025,1543,,525,0,,MLSA,,64.899475,-148.730305,Gear= HL,HL,525
32,MA JS,2,6/15/2025,1552,,508,0,,MLSA,,64.899475,-148.730305,Gear= HL,HL,508
33,MA JS,2,6/15/2025,1648,,692,0,,MLSA,,64.90242,-148.82308,Gear= HL,HL,692
34,MA JS,2,6/15/2025,1700,,606,0,,MLSA,,64.90554,-148.85366,Gear= HL,HL,606
35,MA JS,2,6/15/2025,1800,,600,0,,MLSA,,64.93598,-148.82543,Gear= HL,HL,600
36,MA JS,2,6/15/2025,1817,,510,0,,MLSA,,64.93598,-148.82543,Gear= HL,HL,510
37,MA JS,2,6/15/2025,1826,,602,0,,MLSA,,64.93706,-148.83056,Gear= HL,HL,602
38,MA AB,3,6/16/2025,1413,,605,0,,MLSA,,64.88631,-148.84678,Gear= HL,HL,605
39,MA AB,3,6/16/2025,1420,20330,877,1,,MLSA,,64.88631,-148.84678,RECAP;  Gear= HL,HL,877
40,MA AB,3,6/16/2025,1433,,642,0,,MLSA,,64.88631,-148.84678,Gear= HL,HL,642
41,MA AB,3,6/16/2025,1445,,530,0,,MLSA,,64.88631,-148.84678,Gear= HL,HL,530
42,MA AB,3,6/16/2025,1455,,540,0,,MLSA,,64.88631,-148.84678,Gear= HL,HL,540
43,MA AB,3,6/16/2025,1613,,504,0,,MLSA,,64.92448,-148.74362,Gear= HL,HL,504
44,MA AB,3,6/16/2025,1613,,538,0,,MLSA,,64.93943,-148.85534,Gear= FN,FN,538
45,MA AB,3,6/16/2025,1613,,476,0,,MLSA,,64.93943,-148.85534,Gear= FN,FN,476
46,MA HP,4,6/17/2025,1100,,569,0,,MLSA,,64.88337,-148.85996,Gear= HL,HL,569
47,MA HP,4,6/17/2025,1104,,572,0,,MLSA,,64.88351,-148.85763,Gear= HL,HL,572
48,MA HP,4,6/17/2025,1127,,533,0,,MLSA,,64.88593,-148.84776,Gear= HL,HL,533
49,MA HP,4,6/17/2025,1127,,537,0,,MLSA,,64.88593,-148.84776,Gear= HL,HL,537
50,MA HP,4,6/17/2025,1157,,541,0,,MLSA,,64.881,-148.85248,Gear= HL,HL,541
51,MA HP,4,6/17/2025,1209,,623,0,,MLSA,,64.88145,-148.85045,Gear= HL,HL,623
52,MA HP,4,6/17/2025,1253,,650,0,,MLSA,,64.88717,-148.84637,Gear= HL,HL,650
53,MA HP,4,6/17/2025,1236,,578,0,,MLSA,,64.88717,-148.84637,Gear= HL,HL,578
54,MA HP,4,6/17/2025,1252,,572,0,,MLSA,,64.88717,-148.84637,Gear= HL,HL,572
55,MA HP,4,6/17/2025,1512,,532,0,,MLSA,,64.91041,-148.80079,Gear= HL,HL,532
56,MA HP,4,6/17/2025,1516,,676,0,,MLSA,,64.91041,-148.80079,Gear= HL,HL,676
57,MA HP,4,6/17/2025,1639,,434,0,,MLSA,,64.93174,-148.80209,Gear= HL,HL,434
58,MA HP,4,6/17/2025,1644,,439,0,,MLSA,,64.93174,-148.80209,Gear= HL,HL,439
59,MA HP,4,6/17/2025,1649,,473,0,,MLSA,,64.93174,-148.80209,Gear= HL,HL,473
60,JS JRS,5,6/17/2025,1045,,608,0,,MLSA,,64.90049,-148.72763,Gear= HL,HL,608
61,JS JRS,5,6/17/2025,1045,20473,1045,1,,MLSA,,64.90049,-148.72763,RECAP;  Gear= HL,HL,1045
62,JS JRS,5,6/17/2025,1100,,549,0,,MLSA,,64.89867,-148.72633,Gear= HL,HL,549
63,JS JRS,5,6/17/2025,1100,,434,0,,MLSA,,64.89867,-148.72633,Gear= HL,HL,434
